"OID","Country or Area","Year","Description","Magnitude","Value"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","50.2333"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","76.4092"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","48.74"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","50.2333"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","0.0130874"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","0.020517"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2009","PRINCIPAL RATE","AFGHANIS","77.4621"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","50.25"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","80.3097"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","52.14"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.0124518"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.0191791"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","50.25"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.0127853"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.020202"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","49.5"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.020202"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","79.4002"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2008","PRINCIPAL RATE","AFGHANIS","0.020202"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","49.962"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","78.57"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","49.72"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0127275"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0130764"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0201126"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","76.4743"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","49.962"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0201126"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0200153"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","49.72"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2007","PRINCIPAL RATE","AFGHANIS","0.0200153"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","49.9253"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","49.85"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","74.9943"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0133343"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","49.9253"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200303"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0136145"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","73.4523"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200602"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","49.85"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200303"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2006","PRINCIPAL RATE","AFGHANIS","0.0200602"
"512..RF.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE, PERIOD AVERAGE","AFGHANIS","49.4946"
"512..AE.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","50.41"
"512..AA.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE, END OF PERIOD","AFGHANIS","72.0495"
"512..AC.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0138793"
"512..AF.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","49.4946"
"512..RH.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0202057"
"512..RB.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","73.1197"
"512..RD.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0136772"
"512..AG.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0198373"
"512..AH.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0202057"
"512..DE.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","50.41"
"512..DG.ZF...","AFGHANISTAN, I.R. OF","2005","PRINCIPAL RATE","AFGHANIS","0.0198373"
